Time,Value
4,"0.04
"
,"0.21
"
,"0.28
"
,"0.03
"
,"0.32
"
,"0.32
"
,"0.24
"
,"0.23
"
,"0.27
"
,"0.16
"
,"0.01
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.03
"
,"0.09
"
,"0.11
"
,"0.20
"
,"0.29
"
,"0.34
"
,"0.32
"
,"0.43
"
,"0.00
"
,"0.05
"
,"0.06
"
,"0.30
"
,"0.20
"
,"0.10
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.08
"
,"0.12
"
,"0.14
"
,"0.25
"
,"0.00
"
,"0.16
"
,"0.45
"
,"0.42
"
,"0.35
"
,"0.37
"
,"0.39
"
,"0.36
"
,"0.05
"
,"0.04
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.06
"
,"0.12
"
,"0.10
"
,"0.14
"
,"0.23
"
5,"0.01
"
,"0.36
"
,"0.41
"
,"0.00
"
,"0.31
"
,"0.04
"
,"0.24
"
,"0.17
"
,"0.05
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.01
"
,"0.08
"
,"0.16
"
,"0.24
"
,"0.01
"
,"0.00
"
,"0.34
"
,"0.43
"
,"0.00
"
,"0.40
"
,"0.00
"
,"0.32
"
,"0.12
"
,"0.14
"
,"0.06
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.11
"
,"0.14
"
,"0.18
"
,"0.14
"
,"0.00
"
,"0.38
"
,"0.08
"
,"0.51
"
,"0.34
"
,"0.14
"
,"0.39
"
,"0.06
"
,"0.10
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.10
"
,"0.17
"
,"0.19
"
,"0.24
"
,"0.30
"
,"0.33
"
,"0.41
"
,"0.22
"
,"0.01
"
,"0.35
"
,"0.20
"
,"0.22
"
,"0.07
"
,"0.00
"
,"0.00
"
,"0.00
"
6,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.04
"
,"0.10
"
,"0.15
"
,"0.21
"
,"0.05
"
,"0.31
"
,"0.34
"
,"0.39
"
,"0.38
"
,"0.33
"
,"0.21
"
,"0.13
"
,"0.05
"
,"0.00
"
