Name,Time,Value
,,0
,,0
,,0
,,0
,,0
,,1
,,10
,,31
,,47
,,32
,,32
,,32
,,3
,,12
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,68
,,120
,,127
,,142
,,162
,,108
,,73
,,48
,,32
,,44
,,64
,,128
,,98
,,0
,,6
,,6
,,0
,,0
,,48
,,71
,,63
,,45
,,44
,,40
,,0
,,0
,,24
,,24
,,48
,,47
,,64
,,90
,,48
,,47
,,20
,,32
,,20
,,16
,,10
,,55
,,72
,,47
,,48
,,0
,,0
,,0
,,12
,,0
,,0
,,12
,,7
,,0
,,0
,,0
,,10
,,12
,,0
,,7
,,10
,,8
,,8
,,0
,,7
,,1
,,0
,,0
,,0
,,0
,,8
,,0
,,0
,,0
,,0
,,0
,,8
,,32
,,20
,,8
,,18
,,15
,,0
,,0
,,0
,,0
,,0
,,8
,,8
,,0
,,8
,,6
,,0
,,8
,,0
,,8
,,3
,,0
,,1
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,4
,,0
,,4
,,4
,,1
,,0
,,12
,,25
,,32
,,3
,,4
,,4
,,4
,,0
,,0
,,0
,,4
,,0
,,4
,,0
,,10
,,42
,,23
,,40
,,20
,,15
,,0
,,0
,,0
,,0
,,0
,,4
,,0
,,0
,,16
,,0
,,30
,,20
,,12
,,24
,,32
,,78
,,55
,,42
,,16
,,3
,,0
,,10
,,0
,,4
,,32
,,0
,,3
,,0
,,0
,,0
,,8
,,3
,,16
,,0
,,0
,,0
,,0
,,0
,,4
,,8
,,15
,,15
,,8
,,12
,,16
,,0
,,3
,,0
,,6
,,5
,,4
,,4
,,0
,,10
,,28
,,32
,,31
,,20
,,18
,,47
,,7
,,0
,,0
,,0
,,0
,,7
,,6
,,8
,,24
,,15
,,8
,,8
,,0
,,8
,,8
,,0
,,0
,,4
,,6
,,0
,,4
,,0
,,4
,,4
,,4
,,4
,,4
,,3
,,4
,,0
,,0
,,0
,,4
,,4
,,4
,,4
,,4
,,0
,,0
,,1
,,0
,,2
,,2
,,2
,,2
,,2
,,0
,,0
,,2
,,0
,,2
,,0
,,1
,,1
,,2
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,4
,,33
,,50
,,82
,,79
,,0
,,0
,,0
,,0
,,4
,,0
,,0
,,0
,,12
,,23
,,15
,,17
,,39
,,56
,,71
,,79
,,96
,,48
,,95
,,52
,,2
,,0
,,4
,,0
,,4
,,2
,,2
,,2
,,10
,,39
,,44
,,48
,,47
,,36
,,48
,,32
,,32
,,47
,,31
,,29
,,24
,,7
,,7
,,44
,,44
,,32
,,24
,,36
,,0
,,8
,,0
,,0
,,0
,,0
,,4
,,8
,,0
,,8
,,0
,,0
,,1
,,0
,,0
,,0
,,6
,,8
,,8
,,0
,,8
,,8
,,0
Cora,2013-07-23 10-27-50.054,
,,243
,,84
,,98
,,74
,,71
,,76
,,50
,,81
,,89
,,85
,,48
,,2
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,27
,,18
,,14
,,26
,,68
,,62
,,42
,,21
,,7
,,49
,,65
,,27
,,58
,,46
,,37
,,70
,,48
,,31
,,14
,,0
,,37
,,64
,,51
,,52
,,48
,,79
,,85
,,73
,,56
,,63
,,77
,,61
,,53
,,61
,,45
,,72
,,51
,,51
,,31
,,62
,,0
,,21
,,52
,,65
,,60
,,43
,,42
,,64
,,13
,,0
,,0
,,0
,,26
,,27
,,24
,,32
,,54
,,41
,,51
,,15
,,9
,,0
,,5
,,15
,,31
,,11
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,21
,,30
,,27
,,5
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,36
,,7
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
